,gameId,season,role,lane,accountId
51,4163513474,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
52,4161051062,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
53,4160473191,13,NONE,JUNGLE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
54,4158940409,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
55,4158792026,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
56,4158690093,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
57,4150560544,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
58,4150339701,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
59,4150233255,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
60,4150072840,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
61,4141879503,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
62,4141756373,13,DUO,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
63,4141536785,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
64,4139317309,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
65,4137337572,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
66,4137221905,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
67,4136497029,13,DUO,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
68,4135625642,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
69,4135631513,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
70,4135503804,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
71,4135463990,13,DUO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
72,4132750156,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
73,4132662255,13,SOLO,MID,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
74,4131438536,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
75,4131349884,13,DUO_SUPPORT,BOTTOM,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
76,4131228269,13,DUO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
77,4131183383,13,DUO,MID,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
78,4130838785,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
79,4127304820,13,SOLO,MID,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
80,4127195860,13,DUO_SUPPORT,BOTTOM,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
81,4127134706,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
82,4127017961,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
83,4126859718,13,DUO,MID,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
84,4126778547,13,DUO,MID,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
85,4126741986,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
86,4126486529,13,SOLO,MID,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
87,4125363745,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
88,4125243537,13,NONE,JUNGLE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
89,4125181013,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
90,4124979926,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
91,4124953438,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
92,4124850963,13,SOLO,MID,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
93,4124417063,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
94,4124110363,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
95,4124060029,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
96,4120640812,13,DUO_CARRY,BOTTOM,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
97,4120513018,13,DUO_SUPPORT,NONE,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
98,4120336083,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
99,4120244000,13,SOLO,TOP,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo
0,4260995585,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
1,4260082928,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
2,4259764018,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
3,4259734493,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
4,4257772969,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
5,4257390846,13,SOLO,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
6,4257227402,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
7,4241563962,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
8,4241451592,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
9,4240992890,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
10,4240660159,13,DUO,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
11,4240354239,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
12,4240138715,13,DUO,TOP,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
13,4239979256,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
14,4239909363,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
15,4239844329,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
16,4237076217,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
17,4236209362,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
18,4236142587,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
19,4235811213,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
20,4235211937,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
21,4235038935,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
22,4233009853,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
23,4233011399,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
24,4232843469,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
25,4232833087,13,SOLO,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
26,4232673227,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
27,4232304535,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
28,4232135489,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
29,4231892073,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
30,4231554212,13,DUO_SUPPORT,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
31,4231481467,13,DUO,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
32,4231151563,13,NONE,JUNGLE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
33,4231100932,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
34,4230942397,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
35,4230915010,13,DUO,TOP,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
36,4230204841,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
37,4229975726,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
38,4229542906,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
39,4228752344,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
40,4227532963,13,DUO,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
41,4227386495,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
42,4227278479,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
