summonerName,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
Thal Youtube구독,1,4,1,9,2,1,2,837,0,0,0,0,0,192979,9126,174340,9512,981,16264,3444,11710,1109,5044,1,7290,15363,5418,20,13,12886,4212,8543,130,12505,11858,2,0,192,21,10,0,332,14,3,0,10,2,0,0,0,0,0,1,8.7,7.8,NaN,450.5,499.9,NaN,429.2,545.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
송쿼드,0,6,4,2,4,1,1,683,0,0,0,0,0,90106,76256,12559,1290,0,18124,15637,1434,1052,4460,1,11570,498,133,25,13,19329,5926,12623,780,9675,9420,1,0,153,16,12,0,61,14,6,0,14,6,1,0,0,0,NaN,6.1,7.1,NaN,432,514.5999999999999,NaN,266.6,451.29999999999995,NaN,-23.30000000000001,-30.700000000000045,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M1 happy game,1,4,13,25,0,1,0,260,0,0,0,0,0,39467,8489,29511,1466,0,12048,3187,7395,1466,636,1,19254,4519,477,48,19,23436,9295,13076,1064,9912,10880,0,0,45,0,0,0,146,14,6,0,16,10,0,0,0,0,0,0,0.5,2,2,216,474,482.29999999999995,223.89999999999998,440.4,271.4,7.5,141.70000000000002,22.099999999999994,NaN,NaN,NaN,NaN,NaN,NaN
Kingen,0,4,11,8,2,2,1,265,1,0,0,0,0,123476,100674,17471,5330,0,13633,11057,1725,850,11808,4,15326,5492,2652,24,1,28062,10338,16926,797,9413,9125,1,0,45,87,69,4,30,13,12,0,10,4,0,0,0,0,0,0,0.4,1.7999999999999998,NaN,257.8,532.2,NaN,261.20000000000005,405.1,NaN,-118.60000000000001,178.20000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN
야신 딘써,1,6,8,13,2,1,1,421,0,0,0,0,0,216333,11757,202047,2529,667,23445,1321,20099,2025,10462,1,36304,12881,5162,36,33,35702,12550,22190,961,13741,12075,1,0,185,60,29,14,195,17,3,0,14,5,0,0,0,0,0,0,5.9,7,4.9,405.8,525.6,548.7,281.3,436.6,395.7,-73.19999999999999,5.600000000000023,62.60000000000002,NaN,NaN,NaN,NaN,NaN,NaN
Teambus,1,5,4,3,2,1,1,311,0,0,0,0,0,111968,1452,108529,1986,723,12634,430,11669,534,893,2,5887,8104,6256,13,4,8924,5576,2070,1277,9506,7150,2,0,170,15,9,3,85,12,1,0,6,4,0,0,0,0,0,0,6,8.1,NaN,260.4,521.4,NaN,254.1,483.9,NaN,-16,115.74999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
나쿨피쯔아니다,0,3,6,0,0,1,0,256,0,0,0,0,0,29060,16654,10925,1480,0,8246,5109,3137,0,1539,2,3857,0,0,7,6,10454,4154,5996,304,6051,5685,0,0,79,0,0,0,135,9,2,0,5,1,0,0,0,0,NaN,5.8999999999999995,NaN,416.5,NaN,329.4,NaN,-67.75999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C9 VULCAN,1,4,7,18,2,1,1,753,0,0,0,0,0,34945,17217,9074,8652,0,9696,6728,2030,938,2264,1,29699,1741,1741,58,51,22887,5846,10818,6222,9097,7800,1,0,35,0,0,0,284,14,14,0,33,6,0,0,0,0,0,0,1,2.3,NaN,227.3,453.20000000000005,NaN,263.5,345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,8,0,5,8,2,1,0,1,0,0,0,0,225093,44249,166829,14012,29,20355,6789,13566,0,5291,1,30209,41849,6910,23,6,16816,2495,11601,2719,14366,13658,3,0,249,26,5,4,347,17,3,0,11,2,0,0,0,0,0,0,6.9,9.7,NaN,481.90000000000003,600.4,NaN,366.9,571.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gtqeti334,1,15,0,12,15,2,1,0,4,0,0,0,0,156252,122537,21662,12052,0,21348,17699,2580,1068,18310,5,11321,32075,1945,45,11,22902,6785,15710,405,13361,12950,1,0,21,129,55,40,165,14,2,0,16,9,0,0,0,1,0,1,0.2,1.9,NaN,375.4,740.7,NaN,372.8,788.5999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TlGER,1,8,5,3,4,1,2,444,0,0,0,0,0,94310,403,91537,2369,548,16876,403,15834,639,1831,1,7830,2405,1748,31,3,15096,4881,10059,156,10297,9675,1,0,133,4,0,4,132,15,5,0,14,9,0,0,1,0,0,1,5.1,5.8,NaN,377.5,567.1,NaN,237.2,465.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DWG Ghost,0,5,7,4,2,2,2,640,2,0,0,0,0,170680,1933,155393,13353,435,13447,978,12288,180,2953,3,18763,5713,1450,34,13,21918,9018,12063,836,12143,10900,1,0,240,24,17,0,300,14,2,0,11,10,0,0,0,0,0,0,9,8.399999999999999,NaN,329.4,428.1,NaN,342.3,453.4,NaN,45.5,-194.44999999999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Zenit,0,1,4,0,0,1,0,430,0,0,0,0,0,30935,140,28048,2747,0,4061,140,3795,126,677,3,3080,252,0,12,10,6961,2370,4275,316,4429,4250,0,0,89,6,5,0,108,7,2,0,5,3,0,0,0,0,NaN,7,NaN,245.4,NaN,240.6,NaN,-83.80000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TlGER,0,5,5,3,2,2,2,768,1,0,0,0,0,78633,0,77665,968,395,11523,0,10741,782,1855,1,12918,711,711,19,5,21446,10513,10653,279,8802,9200,0,0,147,0,0,0,132,12,2,0,2,5,0,0,0,0,0,0,8.1,5.699999999999999,NaN,454.70000000000005,407.5,NaN,338.9,360,NaN,52.599999999999994,-129.70000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sun9,0,3,3,2,3,2,1,771,1,0,0,0,0,83117,47650,22153,13312,0,5501,4671,623,206,4963,1,4448,21191,635,15,7,11495,3788,6796,910,7255,6875,1,0,13,81,56,1,94,9,3,0,4,3,1,0,1,0,NaN,1,0.30000000000000004,NaN,308.70000000000005,298.7,NaN,366.9,307.9,NaN,-66.19999999999999,-92.00000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Zenit,0,5,4,6,3,1,2,1426,0,0,0,0,0,195889,168153,18579,9156,0,22122,19568,2450,104,11267,1,21947,4619,2189,26,22,30286,8372,21582,332,14241,14450,1,0,269,4,4,0,366,18,3,0,4,5,0,0,0,0,0,0,8,8.7,6.4,491.20000000000005,631.0999999999999,554.8,273.3,446,441.4,180.90000000000003,57.89999999999998,-118.5,NaN,NaN,NaN,NaN,NaN,NaN
송아지얼룩송아지,0,3,9,5,0,1,0,381,0,0,0,0,0,112608,0,111098,1510,0,18621,0,18621,0,7576,1,19937,2130,754,13,24,28890,5032,23262,594,8742,8550,0,0,149,17,8,6,177,14,4,0,10,2,1,0,0,0,0,0,6.5,5,NaN,446,409,NaN,312.1,334.70000000000005,NaN,48.400000000000034,-216.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Kellin,1,2,4,13,0,1,0,1173,0,0,0,0,0,21354,6628,5211,9514,0,7378,3940,1985,1453,3982,5,30941,1427,60,144,49,22880,7001,15453,426,10341,10125,0,0,47,0,0,0,81,14,25,0,70,23,0,0,0,0,0,0,1.3,1.9,0.9,224.8,284.8,380.20000000000005,206.4,307.6,257.1,123.45000000000002,-4.649999999999977,-138.54999999999995,NaN,NaN,NaN,NaN,NaN,NaN
T1 Gumayusi,1,5,2,11,4,2,1,685,1,0,0,0,0,86150,1135,85015,0,201,7116,1135,5981,0,738,2,4117,6556,3903,24,22,4240,1328,2866,46,9878,9300,0,0,179,19,0,11,456,12,6,0,11,6,1,0,0,0,NaN,8.399999999999999,NaN,377.6,NaN,425.8,NaN,19.579999999999956,NaN,NaN,NaN,NaN,NaN,NaN,NaN
나는대포너는머포,0,2,7,11,2,1,1,818,0,0,0,0,0,191017,2579,183488,4949,1130,25615,1317,23717,580,453,1,19300,7821,733,38,14,24249,6764,15241,2243,11671,10675,0,0,222,30,24,5,126,15,3,0,10,10,0,0,0,0,0,0,6.1,7.5,6.1,233.8,444.9,507.9,230.6,416.9,359.3,-66.84999999999998,-14.250000000000028,-172.84999999999997,NaN,NaN,NaN,NaN,NaN,NaN
T1 Closer,0,3,3,2,2,1,1,578,0,0,0,0,0,87424,75301,10346,1775,0,9643,7890,1752,0,1990,1,8371,739,418,21,34,13821,6232,7079,509,8113,7700,0,0,156,6,5,0,184,13,4,0,11,6,0,0,0,0,NaN,6.300000000000001,6.5,NaN,447.5,489.9,NaN,258.6,414.1,NaN,19.900000000000006,-96.30000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
리그오브래전드ll,0,0,6,9,0,0,0,564,0,0,0,0,0,26552,14608,6226,5717,0,7445,6034,852,559,2219,5,13997,299,0,54,47,13886,6503,7100,282,6137,5850,0,0,36,0,0,0,120,12,8,0,30,5,0,0,0,0,0,0,2.1,1.3,NaN,306.5,269.4,NaN,196.8,219,NaN,-1.549999999999983,-109.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mei Tian Kun,1,0,1,7,0,0,0,258,0,0,0,0,0,101467,74305,20926,6235,0,12461,9545,2916,0,7910,1,13455,3657,2809,17,32,15287,8297,6800,190,8591,8050,1,0,165,0,0,0,374,14,2,0,9,0,0,0,1,0,NaN,7.199999999999999,7.6,NaN,436.5,587.1,NaN,248.2,460.5,NaN,11.900000000000034,-31.69999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
top1v1,1,4,7,10,3,3,1,376,1,1,0,0,0,109434,21694,65228,22511,0,11586,1261,8221,2103,4215,1,38446,9496,3895,46,16,30136,7347,19229,3560,11562,9925,3,0,174,10,5,0,161,16,7,0,17,6,0,0,0,0,0,1,5.800000000000001,7.9,3.7,422.5,521.7,606.5,249.3,346.29999999999995,389.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ikusikus,1,7,5,7,3,1,2,433,0,0,0,0,0,243375,6507,224892,11974,953,27274,4342,18428,4504,7261,1,14270,15985,4439,37,12,24537,9320,13676,1540,13689,11883,2,0,198,21,7,8,278,17,2,0,10,3,1,0,1,0,0,1,8.1,7.5,NaN,512.5,614.7,NaN,433.2,487.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 Canna,0,0,8,5,0,0,0,332,0,0,0,0,0,15682,6742,4735,4204,0,5218,3072,1466,680,818,5,16202,57,0,44,39,13492,5313,6492,1686,5016,4425,0,0,36,0,0,0,176,10,7,0,20,15,0,0,0,0,0,0,1.8,1.6,NaN,276.79999999999995,220.89999999999998,NaN,173.6,212.5,NaN,-14.700000000000017,-127.05000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
가루눈 OwO,1,3,4,7,2,1,1,411,0,0,0,0,0,95851,1805,86449,7597,0,11596,453,10945,197,2397,1,8650,958,455,22,20,15529,6223,8876,430,8661,7825,0,0,155,5,5,0,200,14,3,0,8,7,0,0,0,0,NaN,6.7,6.8,NaN,418.3,500.6,NaN,284.6,353.3,NaN,15.900000000000006,-70.20000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SANDBOX Natalie,0,0,6,5,0,0,0,783,0,0,0,0,0,19035,6441,6164,6429,0,4676,3029,1472,175,39,1,22832,210,210,49,31,14660,2615,11893,152,5373,5075,0,0,36,0,0,0,156,9,5,0,21,12,0,0,0,0,0,0,2,1.5,NaN,311.3,268.8,NaN,210.7,218.3,NaN,9.75,-141.20000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 Kuri,1,3,2,16,2,1,1,339,0,0,0,0,0,27275,22105,2910,2259,0,9204,7587,925,692,2835,5,7468,5178,1540,52,20,9783,4529,4819,434,8076,7125,1,0,16,0,0,0,133,12,9,0,30,6,0,0,0,0,0,1,0.2,0.9,NaN,258.6,348.4,NaN,254.7,311.4,NaN,14.59999999999998,141.95000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
역시폭군,0,1,7,2,0,1,0,373,0,0,0,0,0,75350,54271,13234,7844,0,3602,2276,505,820,13878,5,10575,10020,0,29,11,20882,3194,14675,3011,5750,5150,1,0,27,80,61,0,276,10,4,0,4,5,0,0,0,0,NaN,0.4,NaN,319.3,NaN,266.5,NaN,-15.339999999999975,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tiantianquan,1,1,2,3,0,1,0,827,0,0,0,0,0,114677,92855,11796,10025,0,12840,9206,1358,2275,3881,4,4205,5078,3589,20,20,10090,2394,7674,22,8074,7050,2,0,176,12,8,0,112,14,2,0,9,4,0,0,0,0,NaN,7.2,8.4,NaN,449.1,474.4,NaN,227.70000000000002,393.4,NaN,-10.900000000000006,-258.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mei Tian Kun,1,7,5,7,3,1,2,426,0,0,0,0,0,100965,81521,12807,6636,0,18497,14314,1677,2504,3655,4,6190,1328,1328,19,30,14570,5126,7962,1481,9801,9175,0,0,169,4,0,4,114,14,2,0,8,0,0,0,0,0,0,0,8.1,8.8,NaN,447.4,715.4,NaN,325,542.1,NaN,-36.19999999999996,445.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kingen,1,2,2,1,2,1,1,762,0,0,0,0,0,44599,102,40936,3561,0,4855,102,4367,386,1062,1,3407,377,226,13,12,7811,2932,4594,284,5835,5500,0,0,112,0,0,0,48,11,2,0,7,0,0,0,0,0,NaN,8,NaN,489.5,NaN,305.1,NaN,22.4200000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Luuv Letter,1,3,0,15,3,1,1,0,0,0,0,0,0,95260,64222,17564,13474,0,8269,6195,1082,990,24979,5,13709,26679,272,24,25,20507,4412,15772,322,7840,7150,0,0,17,93,39,15,318,12,4,0,7,4,0,0,0,0,0,1,0.3,1.4,NaN,326.2,531.0999999999999,NaN,317.5,389.1,NaN,-112.05,138.10000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Euro1228,1,10,3,7,6,2,2,601,1,0,0,0,0,139520,3485,115851,20183,0,14195,0,11273,2921,9424,1,11646,31949,308,27,15,20161,4511,15314,335,10550,9950,0,0,22,117,68,4,269,13,7,0,7,5,1,0,0,0,NaN,0.8999999999999999,1.3,NaN,371,505.59999999999997,NaN,444.5,451.9,NaN,56.80000000000001,-31.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
삐삐계약,1,2,3,5,0,1,0,336,0,0,0,0,0,72814,61387,9826,1600,0,8501,7601,900,0,9281,1,11915,2077,1299,9,1,13693,1049,10486,2156,7159,6850,0,0,127,10,1,8,56,13,2,0,6,0,0,0,0,0,0,0,5.5,NaN,432.1,NaN,230,NaN,14.379999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
maoxiandao 9,0,1,5,1,0,1,0,335,0,0,0,0,0,38737,3165,31876,3695,0,2343,635,1707,0,638,2,2557,379,379,9,0,6558,1636,4763,158,4645,4850,0,0,96,0,0,0,0,9,0,0,5,1,0,0,0,0,NaN,5.6,NaN,268.2,NaN,255.5,NaN,-29.840000000000032,NaN,NaN,NaN,NaN,NaN,NaN,NaN
죽이지 마라1,0,11,7,6,6,2,2,489,1,0,0,0,0,183411,0,176824,6586,0,19195,0,19051,144,13668,1,35716,18140,3887,37,20,39828,11590,24513,3725,14668,14755,0,0,189,28,6,14,258,17,3,0,14,5,0,0,0,0,0,1,6.300000000000001,7.199999999999999,5.4,460.3,567.3,544.1,345.6,537.8,379.9,105.20000000000002,84.6,-268.6,NaN,NaN,NaN,NaN,NaN,NaN
CLG Wind,0,2,6,8,2,1,1,703,0,0,0,0,0,147946,9792,119753,18401,0,20034,4100,10636,5296,5367,1,19040,3238,0,17,10,27314,3055,23642,616,9942,8958,0,0,181,4,1,0,300,15,0,0,8,4,0,0,0,0,0,0,6.2,8.5,3.4,465.70000000000005,559.2,423.4,223.6,360,344.6,-13.499999999999972,-138.89999999999998,-189.79999999999998,NaN,NaN,NaN,NaN,NaN,NaN
FPXFPXFPXFPXFP,0,2,9,9,0,1,0,502,0,0,0,0,0,287182,23903,253478,9799,0,26065,7123,17169,1773,765,1,22179,25961,3669,32,8,29967,9952,19750,264,15834,16425,1,0,309,34,22,0,532,18,3,0,14,10,0,0,0,0,0,0,7.4,8.100000000000001,6.3,371.5,591.4,365.1,314.9,368.1,330.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TL Fengge,1,3,2,8,3,1,1,735,0,0,0,0,0,20320,7674,5699,6946,0,4864,3141,1491,232,332,3,7858,338,338,30,30,6338,1811,4288,238,5420,5125,0,0,22,0,0,0,149,9,5,0,13,2,0,0,0,0,NaN,1.2000000000000002,NaN,327.2,NaN,268.4,NaN,130.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ndhm,1,14,4,15,5,3,4,570,2,1,0,0,0,195594,35543,146906,13144,0,31052,3866,25167,2018,9006,1,42075,34308,3851,36,37,33447,12525,19013,1908,16398,15950,2,0,39,134,81,17,517,17,7,0,17,5,1,0,1,0,0,1,1.2,1.9,NaN,396.9,648.2,NaN,352,698.5,NaN,56.10000000000002,121.89999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
역시폭군,0,3,3,5,2,1,1,1063,0,0,0,0,0,188495,141872,29231,17391,0,15070,10928,732,3409,45871,5,36052,30411,489,37,41,41128,9583,24104,7440,10698,10150,1,0,49,157,114,8,540,14,4,0,6,9,0,0,1,0,0,0,0.1,1.2999999999999998,NaN,370.6,484.5,NaN,277.5,439.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SSONNG,0,1,3,2,0,1,0,709,0,0,0,0,0,46651,15,46635,0,427,4781,15,4765,0,389,2,3917,0,0,9,0,7719,2255,5137,326,5371,5050,0,0,126,0,0,0,0,9,2,0,6,2,0,0,0,0,NaN,8.9,NaN,321,NaN,281.7,NaN,17.74000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JustLikeThatKR,0,5,5,6,2,2,1,638,1,0,0,0,0,133178,22697,99581,10899,0,8848,1349,7155,343,6378,1,25915,24015,1143,52,18,22925,2737,19989,197,11043,10775,0,0,43,106,65,0,418,13,10,0,15,16,0,0,0,0,0,0,0.30000000000000004,1.3,2.3,312.7,406.4,288.9,271.3,437.9,281.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LNG duandeliang,1,8,2,9,5,1,2,1329,0,0,0,0,0,174670,60491,105566,8613,0,17082,4431,10247,2403,12090,1,44727,26724,418,55,34,31333,6917,23173,1242,12915,11425,0,0,43,148,94,8,692,17,13,0,24,11,0,0,0,1,0,0,0.4,1.7000000000000002,1,424.1,526,381.2,341.3,402.6,303.70000000000005,9.999999999999972,26.100000000000023,58.39999999999998,NaN,NaN,NaN,NaN,NaN,NaN
SANDBOX GorillA,1,3,2,8,2,1,1,856,0,0,0,0,0,34005,23556,3690,6757,0,12784,12480,304,0,1253,1,7407,7337,305,60,19,10184,6683,3412,88,7383,7350,0,0,20,4,0,0,138,13,10,0,34,2,0,0,0,0,0,1,1.2,0.7,NaN,291.5,242.6,NaN,172.7,235.5,NaN,35.69999999999999,4.999999999999943,NaN,NaN,NaN,NaN,NaN,NaN,NaN
지은이 남자친구,0,2,3,2,0,1,0,247,0,0,0,0,0,7857,3319,2818,1719,0,2019,1341,483,194,309,4,3925,0,0,10,10,5492,1537,3747,208,3493,3025,0,0,15,0,0,0,37,6,5,0,7,0,1,0,0,0,0,0,1.5,NaN,222.2,NaN,236.3,NaN,-107.59999999999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN
박새로이도류,1,1,2,2,0,1,0,426,0,0,0,0,0,81071,65035,9691,6345,0,7074,5442,1122,510,1184,1,1813,2713,2713,11,14,5485,2263,2954,268,7959,8100,1,0,145,4,4,0,87,12,2,0,8,0,0,0,0,0,NaN,7.6,NaN,428.6,NaN,319.2,NaN,34.24000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
두더지형님,0,1,4,5,0,1,0,442,0,0,0,0,0,18793,0,18793,0,216,4433,0,4433,0,5487,4,3132,416,0,47,26,9748,4673,4774,300,4755,3800,0,0,13,0,0,0,87,10,12,0,22,11,0,0,0,0,0,0,0.2,1.1,NaN,278.1,413.7,NaN,166.1,243.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
quaddd,0,3,3,2,2,1,1,788,0,0,0,0,0,103993,93098,6705,4189,0,15670,15097,573,0,4547,1,6876,2597,0,17,22,13304,5927,7023,353,8341,7575,0,0,195,8,8,0,363,13,5,0,9,1,0,0,0,0,NaN,9.1,9.1,NaN,482.20000000000005,565.4,NaN,345,397.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 Closer,1,13,2,9,10,3,2,1315,2,1,0,0,0,179078,6920,169383,2774,718,29070,1948,26067,1054,1215,1,16106,10633,5873,18,3,15589,7548,7256,783,15633,15650,2,0,234,22,12,4,20,16,0,0,8,6,0,0,1,0,0,0,8.4,11.2,NaN,494.70000000000005,645.8,NaN,359.2,629.9,NaN,92.20000000000002,116.20000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN
사랑해 김린아,0,9,7,2,3,2,2,449,1,0,0,0,0,151267,139640,6955,4671,0,19088,16785,414,1889,7485,1,8511,8178,0,21,20,20554,8163,12247,143,10715,10335,0,0,28,131,97,7,199,13,4,0,6,3,0,0,0,0,NaN,0.1,2.2,NaN,488.4,536.7,NaN,448.70000000000005,461.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a12312312312312,1,1,2,4,0,1,0,585,0,0,0,0,0,47222,18884,28147,190,0,5142,2484,2467,190,450,1,6162,680,680,11,16,13269,5234,6937,1097,5458,5425,0,0,102,0,0,0,268,10,1,0,6,2,0,0,0,0,NaN,6.6,NaN,392.6,NaN,262.2,NaN,41.620000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN
iaKeuYGNR,1,5,4,12,2,1,1,768,0,0,0,0,0,125778,94823,26661,4293,0,22633,20467,2165,0,4179,1,12191,11198,7068,32,24,17848,7605,9547,695,12793,11725,3,1,196,8,6,2,59,16,5,0,13,6,0,0,0,0,0,0,8,5.2,5.6,488.6,399.7,558.1,274.1,389.4,444.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 Closer,0,5,9,8,2,1,1,567,0,0,0,0,0,149291,105487,41681,2122,0,25199,17080,6317,1800,9715,1,19959,4398,3190,22,4,32391,8555,22849,986,13171,12650,1,0,220,18,16,2,69,17,4,0,15,2,0,0,0,0,0,0,7,7.4,5.3,465.8,508.7,439.70000000000005,300.1,411,354.7,-40,-27.5,9.800000000000011,NaN,NaN,NaN,NaN,NaN,NaN
a12312312312312,1,4,3,22,0,1,0,430,0,0,0,0,0,119529,61040,54746,3743,25,19840,7428,8669,3743,4692,1,39749,5618,2928,28,27,20435,3768,16666,0,11747,10075,2,1,181,8,0,8,311,17,1,0,11,1,0,0,0,0,0,1,4.6,7.3999999999999995,6,438.9,539.3,632.3,237.79999999999998,409.7,415.7,-19.599999999999994,-67.49999999999997,238.59999999999994,NaN,NaN,NaN,NaN,NaN,NaN
Zenit,0,1,4,2,0,1,0,983,0,0,0,0,0,78275,61383,12031,4860,0,5228,4770,458,0,6540,1,6216,1821,1821,8,2,16211,3372,12368,470,7619,7450,1,0,184,0,0,0,47,10,2,0,7,1,0,0,0,0,NaN,8.2,9.4,NaN,291.5,336.7,NaN,267.4,350.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Zenit,1,8,5,2,3,1,3,528,0,0,0,0,0,98342,198,96231,1911,522,14360,198,13743,418,3584,1,11108,1628,0,23,1,17251,6817,10342,91,10143,9700,0,0,164,14,4,10,116,13,5,0,5,9,0,0,0,0,0,0,6.8,6.1,NaN,369.1,441.2,NaN,321.8,403,NaN,-111.19999999999999,38.39999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
핑잘안보는사람,1,9,5,10,5,1,2,685,0,0,0,0,0,102629,0,77368,25260,0,19494,0,14079,5414,2566,1,30111,2494,2494,15,25,27436,9288,17587,560,11401,11625,2,0,137,3,0,2,197,14,1,0,6,2,0,0,0,0,0,1,4.5,8.5,NaN,306.9,648.5,NaN,371.4,538.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
나는대포너는머포,0,3,5,5,2,2,1,513,1,0,0,0,0,92355,5172,87087,96,836,8289,410,7831,48,1479,1,4723,1789,0,18,16,12589,5268,7111,210,8024,7925,0,0,154,9,7,0,81,11,6,0,9,4,0,0,0,0,0,0,7.699999999999999,7,NaN,346,429.1,NaN,303.3,397.29999999999995,NaN,9.75,-155.04999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Zenit,1,4,0,4,4,1,1,0,0,0,0,0,0,90049,8136,79074,2838,0,8193,1993,6012,188,5650,1,10101,1920,1920,14,11,16930,5373,11294,262,9416,9433,1,0,188,4,0,4,79,13,2,0,8,2,0,0,0,0,0,0,8.1,8.7,NaN,291.9,645.3,NaN,264.6,439.6,NaN,-19.799999999999997,57.99999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O구거,1,1,3,12,0,1,0,852,0,0,0,0,0,25387,9433,7318,8636,0,5165,3769,678,717,2933,1,27040,9406,2612,78,31,15783,3970,10445,1367,7689,7250,0,1,34,0,0,0,92,13,16,0,39,9,1,0,0,0,1,0,1.5,1.6,NaN,283.5,324.4,NaN,231.2,266.1,NaN,21.049999999999997,73.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
쪼렙이다말로하자,1,12,2,10,7,2,2,387,2,0,0,0,0,97038,80926,10829,5282,0,24151,19611,1892,2647,6544,4,5338,3275,3275,20,32,12043,3314,8527,202,11615,10340,1,0,137,12,4,4,129,13,4,0,6,4,0,0,0,1,0,1,6.8,6.7,NaN,451.29999999999995,502.5,NaN,426.7,558.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
