win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas,damageTakenPerMinsDeltas,damageTakenDiffPerMinsDeltas,summonerName
1,7,2,10,7,2,1,1097,1,0,0,0,0,156149,88853,64455,2840,0,23045,15120,7925,0,3113,1,48750,9258,5490,27,42,38415,10101,19284,9029,13563,13200,2,0,209,14,0,6,426,17,2,0,14,4,0,0,0,0,0,1,7.3999999999999995,8.1,4.6,470.4,517.9000000000001,497.8,253.39999999999998,369.6,484.9,1.4000000000000057,91.30000000000004,-53.30000000000001,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",용호야
0,1,5,1,0,1,0,728,0,0,0,0,0,108990,96657,10462,1870,0,6601,5922,319,360,715,1,5542,2635,1943,20,10,11326,4040,7260,26,8888,8875,1,0,208,10,10,0,170,13,5,0,12,2,0,0,0,0,NaN,9.4,9.5,NaN,496.4,510.4,NaN,307.6,402.6,NaN,86.80000000000001,14.599999999999994,NaN,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",LOOK i 1vs5
1,12,6,11,3,2,4,573,2,0,0,0,0,204811,3958,197640,3212,1102,37368,1379,34641,1346,5626,3,19080,17992,10879,49,22,22372,8504,11519,2349,14981,13075,4,1,234,24,12,4,179,14,3,0,8,13,0,0,0,0,1,0,7.9,9.8,NaN,362.6,494.1,NaN,367.3,586.8,NaN,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",Gen G Ruler
1,2,0,14,2,1,1,0,0,0,0,0,0,14773,11401,2912,460,0,7377,5708,1209,460,6029,5,2792,2138,1764,70,22,4162,1967,2087,108,7121,5850,0,0,7,0,0,0,90,12,12,0,46,6,0,0,0,0,0,1,0,0.5,NaN,305.1,353.70000000000005,NaN,175.8,312.79999999999995,NaN,35.89999999999996,143.85000000000002,NaN,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",아름답고 슬픈 꽃
1,11,6,4,3,2,4,460,1,0,0,0,0,333937,6070,320585,7282,1127,41604,2192,37376,2036,4845,3,33256,10894,10894,75,25,23869,11058,12293,518,19989,17500,5,3,318,59,28,27,328,17,4,0,13,22,0,0,0,0,1,0,6.7,11.399999999999999,6,244.89999999999998,679.0999999999999,453.8,272.20000000000005,623.7,525.1,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",Gen G Ruler
1,10,1,15,7,2,2,1125,2,0,0,0,0,97024,371,89547,7105,420,22307,283,22024,0,11371,5,5637,8841,7085,16,35,11496,4465,6937,94,10669,9025,5,0,128,8,4,4,170,12,1,0,8,3,0,0,0,1,0,1,5.6,6.4,NaN,349.8,480.6,NaN,356.7,524.5,NaN,65.69999999999999,76.65000000000003,NaN,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",호잇이
1,5,2,14,5,1,1,1262,0,0,0,0,0,158741,116140,31270,11331,0,17175,13848,1577,1750,16145,1,21143,26994,477,50,26,26997,7513,19097,386,11356,11345,1,0,22,130,69,23,420,16,10,0,18,10,0,0,0,0,0,0,0.1,1.1,0.5,299.3,559.7,556.5,234.1,454.5,336.3,-11.199999999999989,36.79999999999998,16.099999999999994,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",Gen G Bonnie
1,7,2,10,3,2,3,707,1,0,0,0,0,94101,81503,10229,2368,0,21256,20056,649,550,2223,1,9836,4033,1237,13,14,11250,4701,6473,75,9414,8475,1,0,137,8,0,1,134,13,1,0,6,1,0,0,0,0,0,1,8,5.6,NaN,515.4,542.9,NaN,312.7,477.3,NaN,35,171.2,NaN,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",hy2rwt
1,5,1,4,3,2,2,798,1,0,0,0,0,69243,57757,8424,3061,0,9345,8258,926,160,781,1,2072,354,224,12,21,4922,2333,2489,100,7273,5860,0,0,136,4,4,0,199,12,2,0,7,1,0,0,0,0,NaN,8.3,NaN,514,NaN,381,NaN,52.180000000000035,NaN,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",hy2rwt
1,8,1,6,8,2,1,295,3,0,0,0,0,102346,1477,98392,2476,1567,14798,1109,13129,559,1339,2,6078,11346,7916,27,12,7729,1141,6325,262,11281,9750,1,0,191,12,8,4,74,12,4,0,8,9,0,0,0,0,0,0,7.9,11.2,NaN,316.8,583.4000000000001,NaN,348.8,728.8,NaN,-0.30000000000001137,161.65000000000003,NaN,"{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}","{'0-10': 'NaN', '10-20': 'NaN', '20-30': 'NaN'}",Gen G Ruler
