win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
꿈의 남자,1,4,8,15,0,2,0,664,1,0,0,0,0,53498,47083,5161,1254,0,15072,13355,462,1254,4834,1,22872,8186,4444,106,118,22247,9452,12340,454,11172,10375,1,0,34,3,3,0,365,15,15,0,73,11,0,0,1,0,0,0,0.7,1.1,1.2,320.5,314.8,243.5,247.9,371.7,239.6,41.45000000000002,-78.39999999999998,-91.64999999999998,NaN,NaN,NaN,NaN,NaN,NaN
T1 BurdoI,1,1,2,7,0,1,0,754,0,0,0,0,0,102684,0,76256,26428,0,11863,0,8786,3077,2596,1,17741,7677,5460,20,15,19200,4661,12245,2293,9107,9275,1,0,161,0,0,0,163,14,3,0,10,4,0,0,0,0,0,0,6.5,7.199999999999999,NaN,423.1,494.20000000000005,NaN,245.3,382,NaN,32.099999999999994,-20.69999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
칼과 창 방패,0,1,5,5,0,1,0,839,0,0,0,0,0,60695,15903,44791,0,7,4636,3146,1490,0,4790,1,14791,1857,0,24,12,17456,5097,12226,132,7303,6550,0,0,144,4,1,0,46,13,4,0,11,5,0,0,0,0,NaN,6.6,5,NaN,401.8,429.2,NaN,242.1,279.5,NaN,-8.299999999999983,-135.09999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
역시폭군,1,1,3,14,0,1,0,392,0,0,0,0,0,37552,21340,7257,8954,0,7536,5616,1059,860,12616,5,13884,8343,677,33,37,16375,5408,9604,1362,6023,4925,0,0,32,0,0,0,146,11,5,0,15,3,0,0,0,0,0,1,1.5,1.7,NaN,267,313.9,NaN,208.7,269.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
역시폭군,0,1,7,5,0,1,0,423,0,0,0,0,0,83922,58838,15104,9979,0,8136,6150,1611,374,15726,1,18095,12532,664,18,20,24301,9980,10942,3379,6892,6900,1,0,97,16,13,0,236,12,2,0,7,3,0,0,0,0,0,0,4.199999999999999,4.9,NaN,416.3,348.6,NaN,248.1,282.7,NaN,-102.99999999999997,-159.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
눈뜬리라,0,4,5,6,3,1,1,857,0,0,0,0,0,175980,7538,143427,25014,0,7311,0,5751,1559,14658,1,19092,15008,0,38,15,30422,11657,17921,843,10286,10200,0,0,37,151,115,4,350,14,11,0,11,7,0,0,0,0,NaN,0.4,1.2000000000000002,2.1,340.2,483.5,431.5,320.4,365.5,284.79999999999995,-11.100000000000009,47.30000000000001,-202.10000000000002,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Karis,1,5,4,6,3,2,1,380,1,0,0,0,0,112201,14776,88739,8685,0,10728,3827,6250,650,3668,1,8525,5402,3392,23,8,14487,4741,9390,356,10388,9033,2,0,182,2,0,2,52,13,4,0,9,3,0,0,0,0,0,0,8.1,6.9,NaN,428.29999999999995,463.2,NaN,315.2,412.29999999999995,NaN,51.49999999999997,18.299999999999983,NaN,NaN,NaN,NaN,NaN,NaN,NaN
병권좌,1,5,2,13,2,1,2,1188,0,0,0,0,0,280062,220948,35862,23251,0,20749,18452,898,1398,25502,5,18945,59256,1198,107,0,33475,9348,22710,1417,15144,13400,1,1,35,239,160,19,200,18,8,0,41,27,0,0,0,0,1,0,0.30000000000000004,1.3,1.1,314.6,587.1,561.2,263.2,481.79999999999995,419,-9.200000000000017,113.30000000000004,227.3,NaN,NaN,NaN,NaN,NaN,NaN
역시폭군,0,1,7,5,0,1,0,522,0,0,0,0,0,128096,90164,25407,12525,0,8792,6623,878,1290,29302,4,34234,12057,150,35,30,35754,13387,18079,4287,8812,10425,0,0,43,119,87,4,407,13,5,0,6,9,0,0,0,0,0,0,0.9,2,NaN,244.5,554,NaN,213.6,399.7,NaN,-41.69999999999999,139.29999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VIT 모글리,0,9,8,9,2,2,4,593,1,0,0,0,0,199842,43953,142833,13056,0,20946,1873,18352,720,11721,1,48100,23638,1126,48,21,44466,13266,29634,1564,14266,14075,0,0,65,127,68,21,662,16,16,0,24,19,0,0,0,0,0,0,1,0.5,1.6,335.7,360.6,298.6,281.7,354,334.6,-12.899999999999991,66.4,-292.29999999999995,NaN,NaN,NaN,NaN,NaN,NaN
