win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
Lego66,1,4,1,7,4,1,1,453,0,0,0,0,0,96617,9909,84928,1779,0,15883,1971,12132,1779,2776,1,4228,11472,6342,31,6,7804,174,7268,361,9676,9225,0,1,158,3,1,0,79,13,3,0,15,8,0,0,0,1,1,0,7.1,6.5,NaN,471.7,415.1,NaN,255.6,340.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Bonnie,0,2,5,6,0,1,0,448,0,0,0,0,0,101709,75830,23309,2570,0,9119,7296,847,975,9024,1,11617,7433,0,34,18,21789,4636,16748,404,7397,7125,0,0,18,108,80,4,337,11,5,0,11,5,0,0,0,0,0,0,0.1,1,NaN,323.3,372.3,NaN,289.4,309.7,NaN,26.5,-130.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
남캠최현우,0,0,6,8,0,0,0,684,0,0,0,0,0,18154,132,13174,4847,0,4409,132,3920,356,3405,1,8287,0,0,133,24,13752,5109,8125,517,7680,7150,0,0,63,3,0,0,81,12,6,0,66,36,0,0,0,0,NaN,1.4,2.3,2.5999999999999996,246.9,283,348.3,169.39999999999998,280.9,255.89999999999998,-91.35,23.69999999999999,-328.15,NaN,NaN,NaN,NaN,NaN,NaN
해강고 원딜,1,10,4,23,3,2,3,438,1,0,0,0,0,95372,879,93784,708,496,24180,567,22977,634,10064,5,9439,8500,7095,23,42,18739,2376,14680,1682,12569,12225,1,0,137,13,7,0,206,13,3,0,8,7,0,0,0,0,0,1,7.699999999999999,5.3,NaN,405.70000000000005,436.20000000000005,NaN,405.5,494.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
훈련병이상호,1,11,3,14,5,2,3,639,1,0,0,0,0,186031,1084,182508,2439,837,22951,382,22093,475,4296,3,10429,19652,4910,41,16,15829,3467,11560,801,16342,14800,1,0,234,22,19,0,47,17,6,0,15,9,0,0,0,0,0,0,6.4,10.3,6,308.7,615.0999999999999,546.2,276.2,538.7,613.5,-35.85000000000001,185.45,104.54999999999998,NaN,NaN,NaN,NaN,NaN,NaN
Kofks,0,1,4,0,0,1,0,579,0,0,0,0,0,81312,13130,65781,2400,0,5224,2083,3141,0,2005,1,7606,289,289,18,7,12506,3866,7995,644,6924,6358,0,0,167,0,0,0,63,12,3,0,9,2,0,0,0,0,NaN,7.8,8.5,NaN,504.59999999999997,426.5,NaN,302.6,312.4,NaN,67.99999999999997,-41.60000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,10,2,5,7,2,2,1462,3,0,0,0,0,159096,120877,35184,3035,0,19138,14544,4503,90,6476,1,11790,3570,1389,30,3,17389,6565,9715,1107,14355,13900,0,1,233,21,3,9,99,16,6,0,13,6,0,0,0,0,1,0,8.3,8.4,6,546.3,465.7,531.1,326.3,360.7,561.2,94.9,-46.700000000000045,211.10000000000002,NaN,NaN,NaN,NaN,NaN,NaN
역시폭군,1,2,4,9,0,1,0,481,0,0,0,0,0,29565,15676,5292,8596,0,6263,4292,991,980,6530,5,11106,7888,884,40,24,13551,3209,7724,2617,5923,5150,0,0,30,0,0,0,122,10,4,0,14,9,0,0,0,0,0,1,0.8999999999999999,1.8,NaN,223.3,357.1,NaN,198.60000000000002,285.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAKA fans,0,1,1,2,0,1,0,1305,0,0,0,0,0,151226,59,149520,1646,731,10521,0,10485,36,755,1,3491,4104,906,29,11,8833,5601,3232,0,10115,10150,0,0,238,21,18,0,78,13,2,0,10,5,0,0,0,0,0,0,9.2,9.899999999999999,NaN,306.6,467.2,NaN,287.7,441.5,NaN,-4.050000000000011,24.44999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 Gumayusi,1,4,0,5,4,2,1,0,1,0,0,0,0,152313,0,150033,2280,0,10690,0,10690,0,8811,1,15331,10486,1881,17,11,15907,3563,10499,1844,10549,10100,1,0,231,8,1,0,138,15,2,0,9,3,0,0,0,0,NaN,9.1,11.2,NaN,500,643,NaN,295.4,482.4,NaN,15.399999999999977,52.39999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Bonnie,0,0,0,4,0,0,0,0,0,0,0,0,0,111971,79685,27354,4932,0,3548,2880,200,468,8815,1,9164,5061,0,23,7,16231,2218,13748,264,6506,6400,0,0,25,109,77,11,479,11,6,0,12,3,0,0,0,0,NaN,0.1,2.4,NaN,275.9,448.20000000000005,NaN,241.7,310.70000000000005,NaN,-63.69999999999999,-23.400000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN
상 앵,0,1,3,6,0,1,0,988,0,0,0,0,0,33979,15189,12058,6731,0,3975,2619,1356,0,8759,5,14994,389,389,59,16,17943,7426,10352,164,6384,6225,0,0,31,0,0,0,82,13,11,0,37,3,0,0,0,0,0,0,1.2,1.4,0.5,260.6,231.2,475.4,174.9,185.4,186.7,-2.950000000000017,-79.60000000000005,-32.19999999999996,NaN,NaN,NaN,NaN,NaN,NaN
버느마누,1,5,1,10,3,1,2,809,0,0,0,0,0,87798,4667,71088,12042,0,11769,1142,9758,868,3273,1,6226,16859,1688,27,15,9972,4186,5427,358,9779,9125,2,0,126,4,0,0,107,13,5,0,5,8,1,0,0,0,NaN,5.9,5.8,NaN,415.5,501,NaN,379.3,407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
막내현진 팔로우,0,0,4,7,0,0,0,784,0,0,0,0,0,19228,5478,5749,8000,0,1727,961,565,200,4088,5,10380,642,0,23,9,11636,6659,4716,260,4800,4200,0,0,32,0,0,0,33,11,8,0,18,5,0,0,0,0,0,0,1.3,1.5,NaN,279.4,312.1,NaN,149.60000000000002,200.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Karis,1,2,3,7,2,1,1,626,0,0,0,0,0,82763,236,80723,1804,0,10014,236,9712,66,6949,1,8490,4546,3400,7,12,16235,5390,10768,76,7933,7825,1,0,122,12,0,9,153,12,1,0,3,0,0,0,0,0,0,0,8.4,NaN,507.79999999999995,NaN,374.09999999999997,NaN,86.23999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
서폿없인아무것도,0,7,7,7,3,1,1,399,0,0,0,0,0,139036,23702,111283,4050,465,18273,6682,11591,0,2315,4,8687,6043,2290,20,1,18574,9088,7935,1551,12484,12175,2,0,198,8,8,0,32,14,3,0,9,6,0,0,0,0,0,0,7.3,7.1,NaN,323.70000000000005,339.70000000000005,NaN,332,380.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
훈련병이상호,0,0,3,6,0,0,0,1291,0,0,0,0,0,162207,0,160203,2004,542,13397,0,12957,440,12425,5,10055,11199,2383,44,53,21041,8125,12392,523,11546,11375,1,0,244,23,16,0,278,14,6,0,11,14,0,0,0,0,0,0,8.5,10.399999999999999,4.2,332.6,470.6,364.9,289.70000000000005,399.9,325.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JustLikeThatKR,1,1,1,0,0,1,0,158,0,0,0,0,0,6544,4461,1672,410,0,627,430,197,0,661,1,474,20,20,0,0,1488,314,1174,0,1382,1225,0,0,0,12,0,12,0,3,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
서폿없인아무것도,1,7,4,15,4,2,2,617,2,0,0,0,0,411665,6875,401974,2816,989,38573,1592,36112,868,2159,3,19820,26829,5015,41,37,23022,6821,14627,1574,19886,17875,1,1,329,96,72,8,147,18,3,0,11,14,0,0,0,0,1,0,5.699999999999999,6.800000000000001,7.1,245.5,391.2,546.6,207.7,351.5,502.1,-88.94999999999999,-48.20000000000002,51.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN
JustLikeThatKR,0,1,8,11,0,1,0,316,0,0,0,0,0,79487,56380,16764,6343,0,9955,8665,723,566,6910,1,10808,7077,0,28,23,20750,6051,14269,429,6566,5985,0,0,27,71,54,2,315,10,4,0,16,7,0,0,0,0,0,0,0.6,2,NaN,254.2,385.3,NaN,258.6,280.9,NaN,-100.4,-144,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Youtube sangyoon,1,6,2,7,5,2,1,1231,1,0,0,0,0,208144,34975,167259,5909,0,17339,9466,7669,204,1106,3,10100,19462,7839,29,1,10744,6360,4383,0,15042,12100,5,0,268,43,23,8,105,16,4,0,13,5,0,0,1,0,0,1,8.2,10.2,7.5,311.2,509.09999999999997,653.9000000000001,271.7,422.8,639.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
히키 승수,1,7,2,7,5,2,2,532,1,0,0,0,0,98650,53269,12950,32430,0,14064,7381,2078,4604,1439,1,4219,3694,2684,24,25,10342,6203,3674,464,9921,7975,1,0,159,16,9,4,127,14,1,0,3,5,0,0,0,0,0,1,7.199999999999999,7.199999999999999,NaN,470.6,487.6,NaN,307,442.6,NaN,4.5,51.400000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN
서폿없인아무것도,0,3,5,3,0,1,0,735,0,0,0,0,0,150250,1424,137581,11245,840,9204,561,8618,24,1011,4,8961,9164,407,29,5,11213,5019,5834,359,11171,10725,0,0,232,18,10,0,69,13,1,0,8,11,0,0,0,0,0,0,8.8,8.1,5.699999999999999,327.4,404.1,353.3,315.6,345.6,356.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,0,2,3,4,2,1,1,896,0,0,0,0,0,144149,112960,30633,555,0,16749,12006,4742,0,5295,1,15036,2216,585,28,3,18370,1265,15661,1443,10533,9360,0,0,222,4,3,0,78,15,5,0,15,4,0,0,0,0,0,0,7.1,6.300000000000001,8.8,430.6,461.4,499.79999999999995,250.70000000000002,361,371,-78.50000000000003,19,3.299999999999983,NaN,NaN,NaN,NaN,NaN,NaN
두더지형님,1,3,4,21,0,1,0,860,0,0,0,0,0,28718,10849,10275,7593,0,8916,5334,2382,1200,650,1,36725,4363,4135,86,40,29449,13893,13548,2008,10481,9125,2,0,36,0,0,0,65,15,19,0,52,11,0,0,0,0,0,1,1.3,1.2999999999999998,0.7,284.4,350.20000000000005,499.20000000000005,205.1,292.9,332.4,34.70000000000003,50.50000000000003,101.10000000000005,NaN,NaN,NaN,NaN,NaN,NaN
Destiny,0,1,3,2,0,1,0,161,0,0,0,0,0,11207,4457,3199,3550,0,2048,1034,834,180,0,0,5079,0,0,27,17,4357,1417,2939,0,3787,3320,0,0,25,0,0,0,100,7,4,0,13,5,0,0,0,0,NaN,1.6,NaN,211.2,NaN,200.7,NaN,-29.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
adcadcadcada,0,1,3,1,0,1,0,459,0,0,0,0,0,49985,0,45115,4870,261,4949,0,4949,0,2900,2,3116,2614,500,9,21,6995,502,6057,436,5648,5300,0,0,121,7,3,0,88,9,2,0,6,1,0,0,0,0,NaN,6.7,NaN,270.2,NaN,247.3,NaN,-41.89999999999992,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30도 할수있다,0,2,7,3,0,1,0,339,0,0,0,0,0,123986,114436,9146,404,0,7549,6448,1100,0,3115,1,8199,2854,523,13,9,17346,3435,13349,562,9254,8950,0,0,171,17,17,0,78,14,3,0,4,3,0,0,0,0,0,0,6.3,6.2,NaN,413.5,415.3,NaN,309.6,309.3,NaN,-94.39999999999998,-261.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 BurdoI,0,4,5,2,2,2,2,532,1,0,0,0,0,76436,5607,70732,96,309,7442,671,6746,24,2317,1,11974,1544,493,13,14,15402,4063,11110,228,8216,6950,0,0,150,8,5,0,87,11,1,0,7,2,0,0,0,0,0,0,6.1,8.2,NaN,333.9,390.7,NaN,294.29999999999995,359.5,NaN,-57.8,-149.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Destiny,0,4,4,11,2,1,2,735,0,0,0,0,0,24863,21165,2391,1306,0,11104,9472,324,1306,2602,1,7129,682,585,84,52,14053,7417,6367,268,8286,7825,0,0,23,0,0,0,82,13,15,0,46,11,0,0,0,0,0,0,0.1,0.6,1.6,253,262,531.8,167.5,318.4,287.5,-5.199999999999989,44,-82.49999999999997,NaN,NaN,NaN,NaN,NaN,NaN
이젠간절한사람,0,3,1,14,3,1,1,2639,0,0,0,0,0,369170,285165,37030,46975,0,18994,16956,1108,929,41214,5,34650,58727,292,50,1,42759,8490,33133,1136,16464,15600,1,0,62,243,169,14,130,18,8,0,9,13,0,0,0,1,0,0,0.8999999999999999,0.8999999999999999,0.6,410.3,478.4,582.9000000000001,296.5,462.6,400.1,113.7,48.49999999999997,280.20000000000005,NaN,NaN,NaN,NaN,NaN,NaN
다줘패는중,0,1,7,10,0,1,0,548,0,0,0,0,0,35654,24859,5163,5631,0,9502,6554,1410,1537,7123,5,8400,430,0,71,25,16086,4808,11015,263,6763,5975,0,0,36,0,0,0,237,12,19,0,63,8,0,0,0,0,0,0,1.1,1.7,0.8,191,373.7,378.8,138.39999999999998,225.10000000000002,260.6,-52.35000000000004,-10.150000000000006,-36.40000000000006,NaN,NaN,NaN,NaN,NaN,NaN
다줘패는중,0,2,5,13,2,1,1,1170,0,0,0,0,0,33775,21984,6309,5480,0,7116,4298,750,2067,15672,9,11251,2630,483,103,12,20563,5207,14532,823,9406,8900,1,0,58,0,0,0,186,15,24,0,83,10,0,0,0,0,0,0,2.1,1.8,1.5,316.8,350,305.6,161.4,287.5,237.2,-27.049999999999997,35.099999999999994,-150.5,NaN,NaN,NaN,NaN,NaN,NaN
JustLikeThatKR,1,5,5,10,3,2,2,1068,1,0,0,0,0,205792,174751,24994,6045,0,19130,17589,277,1263,12581,1,13151,13560,436,62,13,26980,9245,17124,610,12293,10675,1,0,24,196,143,12,603,15,9,0,26,15,0,0,0,0,0,0,0.3,0.7,1.1,342.2,489.5,387.9,266.1,377.70000000000005,325.6,17.99999999999997,93.40000000000003,109.10000000000002,NaN,NaN,NaN,NaN,NaN,NaN
FA Tank,0,4,9,4,2,1,2,710,0,0,0,0,0,205803,187144,13219,5440,0,22285,21317,968,0,2363,1,11128,2828,134,21,26,22765,12106,8133,2526,12798,12525,0,0,254,20,17,0,322,17,5,0,8,7,1,0,0,0,0,0,8.8,7,7.4,516,522,469.4,342.20000000000005,425.4,358.6,73.79999999999995,-29.099999999999937,-364,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Bonnie,0,1,4,1,0,1,0,363,0,0,0,0,0,30389,4773,25616,0,0,2180,420,1759,0,476,1,5312,1080,0,6,8,7565,1877,5392,295,4104,4075,0,0,68,4,1,0,50,8,3,0,7,0,0,0,0,0,NaN,4.9,NaN,281.5,NaN,200.7,NaN,-37.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Karis,1,1,2,7,0,1,0,995,0,0,0,0,0,100582,1322,90850,8410,0,9092,762,8330,0,6358,1,11888,7875,6677,18,9,18320,6277,11754,288,8667,8225,1,0,157,0,0,0,27,13,1,0,6,6,0,0,0,0,0,1,6.3,7.3,NaN,436.4,427.5,NaN,286.1,366,NaN,47.89999999999998,54.69999999999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FA Tank,0,2,3,5,0,1,0,503,0,0,0,0,0,99593,77816,14042,7735,0,9009,8054,955,0,3744,1,5248,2156,2156,10,17,11956,2565,8776,614,8363,7500,0,0,173,8,8,0,37,13,3,0,8,0,0,0,0,0,0,0,7,8.8,NaN,485.4,502.8,NaN,310.6,366.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Karis,1,5,0,5,5,1,1,0,0,0,0,0,0,46215,27869,14055,4291,0,8963,6399,2228,336,2031,1,3045,948,948,11,13,5133,904,3811,416,7099,6400,0,0,119,4,4,0,18,11,2,0,7,0,1,0,0,0,NaN,7.1,NaN,487.6,NaN,347.70000000000005,NaN,48.619999999999976,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,2,1,3,2,1,1,1225,0,0,0,0,0,131610,0,130397,1213,0,5765,0,4552,1213,1636,1,7516,12808,9031,24,9,10310,2007,8192,110,10771,9508,2,1,206,9,4,0,86,14,1,0,8,4,0,0,0,0,0,0,6.4,10.7,NaN,425.7,548.4,NaN,291.5,484.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
adcadcadcada,1,5,1,1,3,1,2,587,0,0,0,0,0,88811,899,87911,0,431,5430,166,5263,0,1675,1,4549,7033,4698,11,4,7344,972,6221,150,8937,8725,2,0,160,14,11,0,148,11,5,0,7,3,1,0,1,0,NaN,8.3,7.699999999999999,NaN,357.1,458.6,NaN,360.7,480.9,NaN,36.55,52.19999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
후일담,1,0,4,4,0,0,0,1325,0,0,0,0,0,146169,1834,141051,3284,0,14416,1044,13372,0,5950,1,23485,3055,1068,29,21,28000,5144,20950,1904,11089,10250,3,0,236,4,0,0,287,17,7,0,11,6,0,0,0,0,0,0,8,8.1,3.5,497.6,489.5,242.4,263.9,299.6,212.5,21.100000000000023,-48.20000000000002,-406.70000000000005,NaN,NaN,NaN,NaN,NaN,NaN
Clever7,0,0,8,2,0,0,0,305,0,0,0,0,0,75283,63962,9198,2122,0,14557,13773,734,50,0,0,3468,479,19,14,21,12442,4816,7195,430,6453,5460,0,0,145,0,0,0,160,11,1,0,8,0,0,0,0,0,0,0,6.5,6.2,NaN,315.1,368.29999999999995,NaN,255.39999999999998,250.5,NaN,15.599999999999966,-184.95000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN
단군의청춘부재,0,1,5,6,0,1,0,526,0,0,0,0,0,103112,88050,12071,2990,0,13124,12370,754,0,1060,2,6693,2158,2158,29,29,12440,7481,4271,687,8459,8300,1,0,175,4,4,0,238,13,7,0,14,5,0,0,0,1,0,0,7.3,8.8,NaN,472.8,484.29999999999995,NaN,300.1,405.79999999999995,NaN,60.099999999999994,103.29999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lego77,1,1,3,8,0,1,0,480,0,0,0,0,0,49707,44628,5079,0,0,8922,8411,510,0,0,0,5977,734,734,6,8,5934,1396,4503,34,5564,5535,0,0,103,0,0,0,145,11,0,0,4,0,0,0,0,0,NaN,6.4,NaN,477.4,NaN,274.3,NaN,48.82000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Karis,1,8,2,12,8,2,1,964,1,0,0,0,0,103137,16093,85292,1752,0,16468,5505,10358,604,1279,1,3799,6998,6998,11,5,9313,3943,5128,242,11825,11033,3,2,164,8,8,0,90,13,2,0,6,1,0,0,0,0,1,0,7.7,7.9,NaN,359.9,550,NaN,338.7,590.3,NaN,54.84999999999998,66.29999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
출사표를 던지다,0,0,4,5,0,0,0,613,0,0,0,0,0,131662,28126,94230,9305,0,8677,811,7091,775,6709,1,21962,8798,171,31,17,23408,7515,15844,48,8139,7850,0,0,24,122,103,3,510,12,9,0,16,7,0,0,0,0,0,0,0.8,1,NaN,334.6,329.2,NaN,265.9,291.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Destiny,0,2,6,13,0,1,0,367,0,0,0,0,0,23021,11724,4816,6479,0,5560,3901,1086,572,998,5,15986,5769,633,46,15,13405,2348,10085,971,6670,5975,0,0,41,4,0,4,127,10,13,0,25,9,0,0,0,0,NaN,1,2.5,NaN,253.8,311.9,NaN,263.1,251.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
엉덩국 갱승제로,1,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,2600,0,0,98,0,98,0,0,0,2,270,270,0,0,9,0,9,0,1026,500,0,0,18,0,0,0,0,2,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SANDBOX Natalie,1,3,7,12,2,1,1,388,0,0,0,0,0,103639,63842,24558,15238,0,9722,8780,619,321,6756,1,6898,23395,2202,66,15,17963,5447,12139,376,9131,8375,2,0,35,85,58,8,160,13,9,0,28,16,0,0,0,0,0,1,0.9,1.5,NaN,336.2,362.6,NaN,259.8,358,NaN,50.10000000000001,-101.30000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
병권좌,1,8,7,14,2,1,2,609,0,0,0,0,0,260295,241366,11323,7606,0,29457,28873,153,430,5660,1,16076,20960,4124,28,29,26704,8137,17738,828,17322,16300,1,1,279,16,16,0,399,18,4,0,12,7,0,0,0,0,0,0,7.6000000000000005,9.399999999999999,4.9,351.2,583,454.1,295.3,426.29999999999995,326,-34.55000000000001,57.900000000000034,-80.85000000000002,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,6,8,10,3,2,1,336,1,0,0,0,0,289067,12373,263898,12795,1067,29004,5513,20095,3396,7370,1,18680,22225,7171,25,12,28260,11735,12298,4226,15241,13008,3,1,232,26,10,0,373,16,5,0,13,2,0,0,0,0,1,0,7.5,9.3,4.2,485.20000000000005,538.1,420.1,328.6,529.5,415.6,69.30000000000001,13.999999999999972,-136.6,NaN,NaN,NaN,NaN,NaN,NaN
Fa Zzus,1,0,1,9,0,0,0,816,0,0,0,0,0,14085,6440,3584,4060,0,2660,2295,364,0,1214,3,4370,1349,993,23,9,4885,1269,2975,639,4125,3495,0,0,20,0,0,0,72,8,5,0,12,4,0,0,0,1,NaN,1.2,NaN,281.29999999999995,NaN,204.10000000000002,NaN,60.86000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Destiny,1,2,2,17,0,1,0,944,0,0,0,0,0,32618,16890,9418,6309,0,6636,3858,1738,1040,727,1,13910,5429,3554,63,27,10908,2237,6240,2431,8983,7275,1,0,51,4,0,0,52,14,9,0,33,16,0,0,0,0,0,1,1.7999999999999998,1.8,NaN,271.2,308.4,NaN,241,258.2,NaN,34.05,-35.05000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lego77,1,5,6,8,3,1,2,593,0,0,0,0,0,94280,83271,7503,3505,0,11539,9429,724,1385,2159,1,32013,5194,1965,17,42,22689,5825,16223,640,10131,7975,0,1,140,1,0,1,472,15,3,0,14,2,0,0,0,0,1,0,5.3,5.2,3.2,356.1,384,441.70000000000005,209,348.6,293.6,-78.30000000000001,-164,-21.19999999999996,NaN,NaN,NaN,NaN,NaN,NaN
단군의청춘부재,0,3,4,3,2,1,1,490,0,0,0,0,0,86387,67717,14956,3713,0,7703,4656,2508,538,1548,1,5625,727,727,20,2,11893,4971,6581,340,8560,7825,0,0,166,6,6,0,61,13,3,0,8,4,0,0,0,0,NaN,6.6,10,NaN,416.4,581.7,NaN,273.9,504.8,NaN,6,142.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 BurdoI,0,2,3,1,0,1,0,625,0,0,0,0,0,65053,6980,57273,800,0,6490,1965,4524,0,2341,1,4208,0,0,7,9,9638,5231,4055,352,6112,4875,0,0,145,0,0,0,35,11,0,0,5,2,0,0,0,0,NaN,8.7,NaN,446.4,NaN,308.7,NaN,-40.30000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lego66,0,5,8,4,2,2,1,672,1,0,0,0,0,164376,6591,130411,27373,0,10525,0,5638,4886,13426,1,29705,26502,1361,45,8,36326,9176,26685,463,11929,11675,1,0,45,116,91,2,480,14,12,0,15,18,0,0,0,0,0,0,0.2,1.3,1.5,287,418,282.3,255.1,441.2,298.6,-66.1,-59.599999999999994,-354.29999999999995,NaN,NaN,NaN,NaN,NaN,NaN
z08x14,1,13,5,3,6,2,3,679,3,0,0,0,0,149317,121848,27311,158,0,25175,19682,5334,158,7328,1,16065,7892,7135,14,3,25569,4870,19352,1347,14573,14550,2,0,196,12,4,4,72,17,2,0,7,3,0,0,0,0,0,0,7.2,7.3,NaN,488,603.1,NaN,274.9,583.4000000000001,NaN,55.30000000000001,-5.700000000000017,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kofks,1,8,4,13,3,2,2,1719,1,0,0,0,0,301775,3720,280064,17991,735,36821,1716,23613,11491,23136,11,65283,26709,12834,34,6,51889,11579,29276,11034,21407,22558,4,1,305,43,19,11,224,18,1,0,4,12,1,0,0,0,1,0,8.1,9.600000000000001,7.4,480.4,664.6,556.4000000000001,323.1,591.6,467.6,51.89999999999998,124.90000000000003,61.700000000000045,NaN,NaN,NaN,NaN,NaN,NaN
ryzingstar,1,1,3,11,0,1,0,440,0,0,0,0,0,15123,10901,2323,1899,0,5399,4735,414,249,648,1,2791,4000,1650,41,34,5746,2481,2927,337,6508,5660,0,0,16,0,0,0,39,10,5,0,17,9,0,0,0,0,0,1,0.7999999999999999,0.5,NaN,281.9,330.4,NaN,270.1,274,NaN,29.900000000000034,17.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN
병권좌,0,1,2,0,0,1,0,733,0,0,0,0,0,76461,58810,13711,3939,0,2093,1600,200,291,3807,1,3431,3204,0,6,4,9492,3284,5913,294,5090,4360,0,0,32,77,55,4,252,9,1,0,2,2,1,0,0,0,NaN,2.3,NaN,366.2,NaN,310.20000000000005,NaN,-68.70000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dududududud,1,7,2,10,4,2,2,671,1,0,0,0,0,128139,834,126296,1009,0,15142,814,13318,1009,2397,1,7232,3643,3643,23,99,14399,4731,9158,509,10833,9450,0,0,188,10,6,4,202,15,5,0,6,1,0,0,0,0,NaN,8.5,7.7,NaN,513,563.7,NaN,359,476.70000000000005,NaN,41.20000000000002,134.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dududududud,1,9,0,4,9,2,1,0,2,0,0,0,0,72666,695,71396,574,0,9416,486,8620,310,2356,1,3471,1052,1052,13,82,6676,2912,3764,0,7636,6675,0,0,128,0,0,0,185,11,3,0,5,2,0,0,0,1,NaN,8.1,NaN,482.8,NaN,339.8,NaN,90.79999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
