summonerName,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
Broxah,1,4,2,3,3,1,1,682,0,0,0,0,0,138744,34705,92824,11215,0,3711,1223,2399,89,12262,1,12286,17976,1872,23,6,22085,5119,16797,168,9328,8083,2,0,18,142,95,18,284,13,5,0,8,5,0,0,0,0,0,1,0.1,0.8999999999999999,NaN,329.5,548.3,NaN,258.3,456,NaN,-67.30000000000001,86.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Broxah,1,2,8,9,0,1,0,466,0,0,0,0,0,119382,1438,111145,6797,744,11623,679,10764,179,9403,2,10687,9469,4949,12,9,27747,13903,12425,1417,11309,11455,1,0,162,16,16,0,94,14,3,0,6,2,0,0,0,0,0,1,6.800000000000001,5.2,2.5,303.4,386.3,422.5,232.8,278.9,392.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Broxah,1,9,7,12,3,2,2,360,1,0,0,0,0,216135,23752,182009,10373,0,23264,3465,18328,1469,28394,1,49779,25483,2877,29,25,62569,18059,37513,6996,14763,12950,1,0,49,156,115,19,279,17,6,0,6,7,0,0,0,0,0,1,0.5,1.5,0.8999999999999999,360.70000000000005,497.5,417.4,282,486.5,375.1,49.80000000000001,-1.599999999999966,-179.4,NaN,NaN,NaN,NaN,NaN,NaN
Broxah,0,5,7,5,3,1,2,625,0,0,0,0,0,142915,115861,18882,8171,0,16741,15944,583,213,13775,1,22971,11925,0,25,29,31147,8004,20453,2689,10423,10175,0,0,18,135,96,4,503,14,5,0,5,6,0,0,0,0,0,0,0.1,0.6,NaN,315.1,550.3,NaN,334.2,332.20000000000005,NaN,-88.69999999999999,63.69999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Broxah,0,3,7,2,2,1,1,388,0,0,0,0,0,130907,21117,99034,10754,393,12089,1232,9206,1650,15029,15,10382,8838,2137,12,2,23972,8297,15235,439,9075,8775,1,0,33,120,92,5,196,13,1,0,2,4,0,0,0,0,0,0,0.1,3.0999999999999996,NaN,332.3,556.7,NaN,289,484.3,NaN,-78.99999999999997,74.60000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Broxah,0,2,5,7,2,1,1,623,0,0,0,0,0,410371,5328,2992,402049,0,5421,2875,1486,1059,6068,5,9815,1865,75,24,34,13043,7319,5533,190,7888,7400,0,0,9,125,99,9,201,12,4,0,4,7,0,0,0,0,0,0,0.1,0.8,NaN,343.4,446.6,NaN,314,293.4,NaN,14.300000000000011,-67.50000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Broxah,1,2,4,24,2,1,1,492,0,0,0,0,0,337351,12937,7019,317395,0,4872,2919,1477,475,11870,6,13765,9253,2163,21,36,13853,7835,5640,378,9587,9050,1,0,13,102,63,19,183,14,6,0,7,3,0,0,0,0,0,1,0.1,1.1,NaN,367,472.6,NaN,326.1,384.70000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Broxah,1,2,4,20,0,1,0,535,0,0,0,0,0,349491,14617,6204,328669,0,7944,5105,1875,963,10977,5,9589,8948,3526,20,47,12601,5245,6782,573,9763,8900,2,0,24,114,86,16,258,15,4,0,4,2,0,0,0,0,0,1,0,1.6,NaN,324.5,479.4,NaN,268.20000000000005,346.7,NaN,21.5,-56.29999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Broxah,0,5,3,3,3,2,1,505,1,0,0,0,0,168247,134640,21301,12305,0,13849,11401,1374,1073,17632,4,13555,17470,440,20,3,26734,6871,19515,348,10751,10835,0,0,37,148,98,5,175,14,1,0,3,5,0,0,0,1,0,0,0.1,1.4,NaN,382.70000000000005,618.4,NaN,353.1,510.40000000000003,NaN,-57.79999999999998,-91.90000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,0,6,12,7,3,1,1,265,0,0,0,0,0,67063,64538,1564,960,0,12762,11417,384,960,2025,1,9723,140,140,8,52,27200,21537,5352,310,13996,13900,0,0,82,4,4,0,568,17,0,0,6,0,0,0,0,0,0,0,4,NaN,429.8,NaN,512.7,NaN,-88.97999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,0,9,8,12,2,2,4,108,4,0,0,0,0,35555,772,34275,507,0,16818,772,15537,507,1585,1,8909,0,0,0,82,13911,5783,7450,676,8775,8450,0,0,21,0,NaN,1.5,NaN,708.8,NaN,588.2,NaN,-62.339999999999975,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,1,11,7,17,5,2,3,295,1,0,0,0,0,49258,829,47153,1274,0,22763,473,21114,1175,4132,1,20192,1733,1733,0,5,23001,15488,5505,2007,13621,13800,0,1,40,0,NaN,1.7999999999999998,1.9,NaN,850.3,1081.8,NaN,575.0999999999999,571.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,0,4,8,5,0,1,0,219,0,0,0,0,0,26035,890,24631,514,0,12548,313,11721,514,613,1,6625,0,0,0,4,12719,5886,6773,59,8383,8200,0,0,25,0,NaN,1.5,NaN,597,NaN,425.2,NaN,-39.89999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,0,5,11,33,3,1,1,165,0,0,0,0,0,66560,64465,1452,642,0,28606,27575,388,642,4122,1,14106,597,597,0,150,21249,6334,14558,357,11571,10900,0,0,36,0,NaN,1.4,NaN,684.1,NaN,408.6,NaN,-116.11999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,1,11,6,32,3,2,3,450,2,0,0,0,0,74583,6985,67598,0,1239,27732,602,27129,0,7807,2,7857,398,398,0,25,21362,9192,11604,565,14288,12800,1,0,59,0,NaN,2.4,NaN,791.6,NaN,533.1,NaN,39.30000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,1,12,14,38,3,3,3,155,1,1,0,0,0,100986,93155,4282,3548,0,38395,33867,1877,2650,3421,5,66675,447,447,0,65,43834,26363,16814,656,16766,15700,0,0,61,0,NaN,1.9,2.3,NaN,671,1182.4,NaN,506.79999999999995,595.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,1,11,5,14,4,1,4,799,0,0,0,0,0,197033,6077,181186,9770,0,28681,1602,26185,894,12343,1,24245,31941,4329,32,137,29844,10216,18978,650,14856,14350,3,1,35,150,88,17,417,16,1,0,11,1,1,0,1,0,1,0,0.6,2.1,0.8,357.7,594.6,600.6,358.3,491.1,507.3,4.099999999999994,161.40000000000003,193.1,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,1,17,4,16,7,3,4,358,3,2,0,0,0,60221,3630,56591,0,503,22674,668,22005,0,6114,4,4445,2078,2078,0,0,12323,6829,5082,411,12132,10350,1,0,59,0,NaN,3.2,NaN,734,NaN,634.9,NaN,29.280000000000086,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nemesis,0,9,10,17,2,1,3,170,0,0,0,0,0,19297,12086,2272,4938,0,11897,6332,626,4938,2645,5,32909,0,0,0,66,30246,16589,13011,645,10728,10470,0,0,11,0,NaN,0.6000000000000001,NaN,695.2,NaN,437.70000000000005,NaN,-77.10000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,1,4,6,6,2,1,1,979,0,0,0,0,0,156925,8197,139202,9525,24,18037,2655,15381,0,7154,1,27730,18242,4177,26,23,32543,7946,21311,3285,12663,11925,2,1,206,9,4,0,111,17,1,0,11,0,0,0,1,0,0,0,7.2,7,6,462.5,421.5,574.8,271.3,406.70000000000005,366.9,68,-253.10000000000002,-90.39999999999998,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,0,9,13,10,3,1,2,242,0,0,0,0,0,117635,117521,95,18,0,21464,21405,40,18,11318,1,22516,24565,3729,16,29,41448,9134,32212,101,16848,16500,1,1,120,8,4,0,614,18,0,0,10,1,0,0,0,0,0,0,7.7,NaN,670.1,NaN,892.4000000000001,NaN,20.239999999999952,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,1,14,10,11,6,2,2,337,1,0,0,0,0,115263,108464,6581,218,0,32101,30525,1538,38,12984,1,22806,3763,2865,23,28,37969,15401,22198,369,19011,17100,0,0,120,4,0,4,289,21,0,0,14,0,0,0,0,0,0,0,6.9,4.2,NaN,601,1700.9,NaN,833.3,896.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,0,6,17,4,0,1,0,85,0,0,0,0,0,74543,7257,63258,4027,728,11409,1473,9321,614,4731,1,11008,1810,0,6,7,28049,17299,10058,692,10877,8883,0,0,59,0,0,0,148,13,0,0,4,0,0,0,0,0,0,0,5.6,NaN,688.6,NaN,692,NaN,4.760000000000048,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,0,1,4,8,0,1,0,381,0,0,0,0,0,21622,17905,2292,1424,0,10422,8747,750,924,1820,2,6277,302,302,27,56,12040,7228,4411,400,5508,5275,0,0,12,0,0,0,70,10,5,0,13,2,0,0,0,0,0,0,0.1,NaN,255.20000000000002,NaN,194.8,NaN,-46.23999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,0,13,9,5,3,2,4,161,2,0,0,0,0,132835,120241,11376,1218,0,27621,22945,3566,1110,9936,1,16789,4387,3818,19,19,27525,12420,14793,312,17704,16600,1,0,128,8,8,0,296,19,0,0,13,0,0,0,0,0,0,0,5.7,NaN,453.5,NaN,733.7,NaN,-42.79999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
